scenario_group,attack_case,mode,attempts,policy_violation_rate,bypass_success_rate,forgery_acceptance_rate,detection_rate,reject_rate,invariant_violation_count,reject_latency_avg_ms,reject_latency_p95_ms
A,expired_session,mcpd,8,0.0,0.0,0.0,1.0,1.0,0,0.37,0.484
A,expired_session,userspace_semantic_plane,8,0.0,0.0,0.0,1.0,1.0,0,0.214,0.269
A,expired_session,userspace_tamper_session,8,1.0,1.0,1.0,0.0,0.0,8,2.011,3.602
A,fake_session_id,mcpd,8,0.0,0.0,0.0,1.0,1.0,0,0.773,2.036
A,fake_session_id,userspace_semantic_plane,8,0.0,0.0,0.0,1.0,1.0,0,0.283,0.663
A,fake_session_id,userspace_tamper_session,8,1.0,1.0,1.0,0.0,0.0,8,1.934,3.556
A,session_token_theft,mcpd,8,0.0,0.0,0.0,1.0,1.0,0,0.55,0.94
A,session_token_theft,userspace_semantic_plane,8,0.0,0.0,0.0,1.0,1.0,0,0.319,0.615
A,session_token_theft,userspace_tamper_session,8,0.0,0.0,0.0,1.0,1.0,0,1.767,3.136
B,cross_agent_ticket_reuse,mcpd,8,0.0,0.0,0.0,1.0,1.0,0,1.142,2.128
B,cross_agent_ticket_reuse,userspace_semantic_plane,8,0.0,0.0,0.0,1.0,1.0,0,0.854,1.37
B,cross_agent_ticket_reuse,userspace_tamper_approval,8,1.0,1.0,1.0,0.0,0.0,8,34.152,75.778
B,cross_tool_ticket_reuse,mcpd,8,0.0,0.0,0.0,1.0,1.0,0,1.584,2.849
B,cross_tool_ticket_reuse,userspace_semantic_plane,8,0.0,0.0,0.0,1.0,1.0,0,0.756,1.289
B,cross_tool_ticket_reuse,userspace_tamper_approval,8,1.0,1.0,1.0,0.0,0.0,8,39.663,84.221
B,denied_ticket_reuse,mcpd,8,0.0,0.0,0.0,1.0,1.0,0,1.468,3.361
B,denied_ticket_reuse,userspace_semantic_plane,8,0.0,0.0,0.0,1.0,1.0,0,1.621,4.182
B,denied_ticket_reuse,userspace_tamper_approval,8,1.0,1.0,1.0,0.0,0.0,8,18.967,35.728
B,expired_ticket_replay,mcpd,8,0.0,0.0,0.0,1.0,1.0,0,1.506,3.19
B,expired_ticket_replay,userspace_semantic_plane,8,0.0,0.0,0.0,1.0,1.0,0,1.326,2.494
B,expired_ticket_replay,userspace_tamper_approval,8,1.0,1.0,1.0,0.0,0.0,8,30.441,53.859
B,forged_approval_ticket,mcpd,8,0.0,0.0,0.0,1.0,1.0,0,1.452,2.473
B,forged_approval_ticket,userspace_semantic_plane,8,0.0,0.0,0.0,1.0,1.0,0,1.076,2.371
B,forged_approval_ticket,userspace_tamper_approval,8,1.0,1.0,1.0,0.0,0.0,8,49.628,106.718
C,hash_mismatch,mcpd,8,0.0,0.0,0.0,1.0,1.0,0,1.322,2.646
C,hash_mismatch,userspace_semantic_plane,8,0.0,0.0,0.0,1.0,1.0,0,0.656,0.728
C,hash_mismatch,userspace_tamper_metadata,8,1.0,1.0,1.0,0.0,0.0,8,1.616,2.961
C,stale_catalog_replay,mcpd,8,0.0,0.0,0.0,1.0,1.0,0,1.016,1.753
C,stale_catalog_replay,userspace_semantic_plane,8,0.0,0.0,0.0,1.0,1.0,0,1.296,2.719
C,stale_catalog_replay,userspace_tamper_metadata,8,1.0,1.0,1.0,0.0,0.0,8,1.422,2.361
C,wrong_app_binding,mcpd,8,0.0,0.0,0.0,1.0,1.0,0,1.11,1.723
C,wrong_app_binding,userspace_semantic_plane,8,0.0,0.0,0.0,1.0,1.0,0,1.009,2.424
C,wrong_app_binding,userspace_tamper_metadata,8,1.0,1.0,1.0,0.0,0.0,8,1.999,3.308
D,approval_required_bypass,mcpd,8,0.0,0.0,0.0,1.0,1.0,0,0.221,0.46
D,approval_required_bypass,userspace_compromised,8,1.0,1.0,1.0,0.0,0.0,8,41.443,65.808
D,approval_required_bypass,userspace_semantic_plane,8,0.0,0.0,0.0,1.0,1.0,0,0.156,0.385
D,invalid_session_hash_bypass,mcpd,8,0.0,0.0,0.0,1.0,1.0,0,0.222,0.536
D,invalid_session_hash_bypass,userspace_compromised,8,1.0,1.0,1.0,0.0,0.0,8,1.833,2.368
D,invalid_session_hash_bypass,userspace_semantic_plane,8,0.0,0.0,0.0,1.0,1.0,0,0.22,0.55
E,toctou_hash_mismatch_after_approval,mcpd,8,0.0,0.0,0.0,1.0,1.0,0,0.743,0.937
E,toctou_hash_mismatch_after_approval,userspace_semantic_plane,8,0.0,0.0,0.0,1.0,1.0,0,0.83,1.457
E,toctou_hash_mismatch_after_approval,userspace_tamper_approval,8,0.0,0.0,0.0,1.0,1.0,0,1.035,1.566
E,toctou_tool_swap_after_approval,mcpd,8,0.0,0.0,0.0,1.0,1.0,0,0.898,1.553
E,toctou_tool_swap_after_approval,userspace_semantic_plane,8,0.0,0.0,0.0,1.0,1.0,0,0.738,1.06
E,toctou_tool_swap_after_approval,userspace_tamper_approval,8,1.0,1.0,1.0,0.0,0.0,8,28.994,41.963
E1,direct_risky_tool,direct,1,1.0,1.0,1.0,0.0,0.0,1,78.653,78.653
E1,direct_safe_tool,direct,1,1.0,1.0,1.0,0.0,0.0,1,0.811,0.811
E1,forwarder_fake_session,forwarder_only,1,0.0,0.0,0.0,1.0,1.0,0,1.297,1.297
